Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
1,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,Shelf Label Holder's - 'U' Shape. Made of Steel and enamelled in brown finish. Complete with blank labels and transparent stripe. Size- 12.5cms * 3 cms. ..,200 Nos.,doz,192,3200,,,,,,,,
2,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,"Steel Book supports - Made of heavy gauge steel sheets and enamelled in durable finish. Red 30; Green 30 Nos and 40 Nos. Brown. Size - 7 1.4"" * 5"". ..",100 Nos.,doz,300,2500,,,,,,,,
3,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,"Bay Guides - (Both-Naya) Size 9"" * 3"". Made of steel and enamelled brown finish. With blank labels and transparent strips. Two holes drilled for fixing on slotted angle steel racks. ..",50 Nos.,ea.,30,1500,,,,,,,,
4,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,Accession Registers - 5000 entries each. Leather Bound ..,2 Nos.,ea.,250,500,539,100,8339,,,,,
5,-,-,"British Development Corporation office,","British High Commission,",Chankyapuri,New Delhi,-,-,-,-,"Pamphlet Boxes - Cut Corner Style. Made of extra thick straw board fully covered with rexine cloth of superior quality. Metal Label holder-fitted to the spine of each box. Size - 4""*9 1/2"" * 12 1/2"". Black Colour. ..",36 Nos.,ea.,45,1620,,80,1700,,,,,
6,-,-,"R.D.O,","British High Commission,","Vasant Vihar,",New Delhi,-,-,-,-,"Steel Book Supports - Made of heavy gauge steel sheets and enamelled in durable grey finish, Size - 9 1/2"" * 6"".",8 doz,doz,400,3200,,,3200,-,-,-,-,-
7,-,-,"Rural Development office,","British High Commission,","Vasant Vihar,",New Delhi,110057,-,-,-,"Pamphlet Boxes - Cut Corner Style. Made of extra thick straw board fully covered with rexine cloth of superior quality. Metal Label holder-fitted to the spine of each box. Size - 4""*9 1/2"" * 12 1/2"". Dark Blue Colour. ..",25Nos.,ea.,50,1250,70,,1320,,,,,
8,RDG/Fur/057,11/11/1999,"Rural Development Group,","British High Commission,","Vasant Vihar,",New Delhi,110057,-,-,-,"Periodical Display-Cum-Storage Rack-Having 12 Compartments each of size 34.5cms * 26.5cms. Suitable for display and storage of periodicals. Made of best quality material and well polished. Dim: 61""high; 35""wide and 16""deep. ..",One,Ea.,7500,7500,250,,7750,,,,,
9,-,16-10-2007,The Librarian,Guru Gobind Singh Indraprasatha University,Kashmere Gate,Delhi,110006,2,B/123,17-11-2007,Accession Registers- 5000 entries. Leather Bound,Two,Each,450,900,36,,936,,,,,
10,-,7/9/2016,Lal Chatuana Librarian,Govt. Hrangbana College,Aizawl,-,-,1,C/83,10/9/2016,Barcode Labels - Self Adhesive 65 Labels On one Sheet,50,per pkt.,260,13000,,,,,,,,
11,-,7/9/2016,Lal Chatuana Librarian,Govt. Hrangbana College,Aizawl,-,-,1,C/83,10/9/2016,Postage and pack charges . .,,,,,,,,-,-,-,-,-
12,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Transparent Labels - Self Adhesive sticker type.,"60,000",Th.,250,15000,,,,,,,,
13,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Bar code Labels - Blank. 65 Labels on one sheet (Total 100 sheets),6 Pkts.,Pkt.,250,1500,,,,,,,,
14,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Book Spine Labels - Red Border printed. Self Adhesive.,"10,000",Th.,150,1500,900,,18900,"ABC India Ltd.,toAizawl",UN 70507,23-11-2014,-,-
15,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Card Catalogue cabinets-Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing card size 5""*3"". 30-drawers unit. ..",Two,ea.,3350,6700,,,,,,,,
16,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Periodical Display-cum-storage Racks - Having 25 compartments for display and storage of periodicals. Made of best quality material and well polished. Size 75""*57""*16""deep. ..",Six,ea.,5150,30900,,,,,,,,
17,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Magazine Display Racks-(5 tiered) Having 5 graduated compartments for display of magazines and roomy shelf on the rear for storage purpose, made of best quality material and well polished. Dimension: 48""*36""*15"" deep. ..",Three,ea.,2025,6075,4367.5,,48042.5,,,,,
18,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Catalogue Cards-Size 5""*3"". White. Ruled and punched with a round hole. Imported Card Stock : Heavy Weight. ..","7,000",th.,305,2135,,,,,,,,
19,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Blank Catalogue Guide Cards - Extra thick quality. Tab cut and punched with a round hole. ..,500,hd.,38,190,,,,,,,,
20,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Book Cards - Size 3""*5"". Printed both sides on heavy weight. Coloured Card Stock. ..","2,000",th.,150,300,,,,,,,,
21,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Book Labels - Self Adhesive Sticker Type. Round shape.,"2,000",th.,75,150,,,,,,,,
22,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Date Due Slipe-Printed on superior white paper with matter as per your sample. ..,"2,000",th.,65,130,,,,,,,,
23,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Book Pockets - Bag Shaped. Printed.,"2,000",th.,160,320,,,,,,,,
24,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Printed Charging ray Guides - For 3""*5"" cards Dates (1-31)",5 sets.,set,35,175,,,,,,,,
25,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Reader's Tickets - Size 2""*3"". Made of plastic. Fabricated and printed both sides as per your sample 125 green, 125 Blue, 125 Red, 125 Brown. ..",500,lot,450,450,,,,,,,,
26,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Reference Cards - Size 5""*3"". White. Ruled both sides. Indian Card Stock : Medium weight (Superior)","3,000",th.,115,345,419.5,,4614.5,,,,,
27,-,-,"The Library Incharge,","Ghabib Academy,",-,New Delhi,110013,-,-,-,"Steel Book Supports - Made of heavy gauge steel sheets and enamelled in durable dark grey finish. Standard Size - 7 1/4""*5"". ..",6 doz,doz,240,1440,100.8,,1540.8,,,,,
28,GKL/85/6602,8/7/2005,The Librarian,Gurukul kangri vishwavidyalaya,Hardwar,-,249 404,2,C/114,25-08-2005,"Borrower's Tickets-Size 3""*3"", 3/4"". Made of thick card reinforced with cloth. Fabricated and printed as per your sample. Yellow colour.",8500,Th.,950,8075,807.5,312.5,9195,Passenger train to Haridwar Jn.railway stn.,F 462778,24-08-2005,-,-
29,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Card catalogue cabinet - Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing card size 5""*3"". 30-drawers unit. ..",Two,ea.,3350,6700,,,,,,,,
30,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Periodical Display-Cum-Storage Racks-Havings 25 Compartments for display and storage of periodicals. Made of best quality material and well polished. Size 75""*57""*16""deep. ..",Six,ea.,5150,30900,,,,,,,,
31,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Magazine Display racks-(5 tiered) Having 5 graduated compartments for display of magazines and roomy shelf on the rear for storage purpose, made of best quality material and well polished. Dim:48""*36""*15""deep.",Three,ea.,2025,6075,"4,367.50",,"48,042.50",-,-,,,
32,AG/D-521,13-08-2001,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Catalogue Cards-Size 5""*3"". Urdu Ruled. Punched. Indian card stock : Medium weight(Superior) ..",2000,th.,280,560,,,,,,,,
33,AG/D-521,13-08-2001,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Catalogue Cards- Size 6""*4"". White. Ruled both sides as per your sample. Indian Card Stock: Medium weight (Superior) ..",5000,th.,450,2250,224.8,,3034.8,,,,,
34,-,-,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Card Catalogue Cabinet - Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing cards size 6""*4"". 12-Drawers unit. ..",One,Dr.,400,4800,384,,5184,,,,,
35,GKL/85/6602,8/7/2005,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249,3,PROFORMA BILL,10/2/2006,"Card Catalogue Cabinet - Made of best quality seasoned teak wood and well polished. Cum-plate with standard fittings and leg base. Suitable for housing cards size 5""*3"". 12-Drawers Unit.",2 Nos.,Ea.,3600,7200,900,,8100,-,-,-,-,-
36,GKL/85/6869,25-05-2006,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249 407,1,C/40,27-06-2006,"Steel Book supports-Made of heavy gauge steel and powder coated in white finish. Size - 7 1/4""*5"".",560 Nos.,Each,40,22400,2800,625,25825,"Pasenger train to Haridwar railway station,",G 115500,27-06-2006,-,-
37,-,-,"The Secretary,","Ghalib Academy,",-,New Delhi,110013,-,-,-,"Catalogue Cards-Size 5""*3"". White. Urdu Ruled. Indian Card Stock : Heavy Weight. ..",2000,th.,350,700,,,,,,,,
38,-,-,"The Secretary,","Ghalib Academy,",-,New Delhi,110013,-,-,-,Steel Book Supports - Size 18.5cms * 12.5cms. Dark grey colour…,4 doz,doz,300,1200,133,,2033,-,,,,
39,GKL/85/6602,8/7/2005,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249404,1,C/9,12/4/2006,"Catalogue Card cabinets-Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing cards size 5""*3"". 12-Drawers Unit.",Two,Ea.,3600,7200,900,1498,9598,Passenger train to Hardwar Jn. raily stn.,P 975393,12/4/2006,-,-
40,G.K.L/85,2/9/2006,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249407,1,C/83,4/10/2006,"Borrower's Tickets-Size 3""*3"", 3/4"". Fabricated and printed as per your sample. Cloth-Lined. Yellow Colour.",8000,Th.,1000,8000,800,365,9165,passenger train to Haridwar railway station.,B 931175,4/10/2006,,
41,23764,8/3/1983,"The Superintendent,","Messrs. Bhartia Culter-Hammer Ltd.,",Faridabad,-,121 002,-,-,-,"Reader's Tickets - Size 2""*3"". Made of plastic with printing on both sides. Complete with printed insertion slips. 600 Maroon Colour and 400 green..","1,000",th.,480,480,,,,,,,,
42,23764,8/3/1983,"The Superintendent,","Messrs. Bhartia Culter-Hammer Ltd.,",Faridabad,-,121 002,-,-,-,"Periodical Record Sheets - Size 8"" * 5"". Printed both sides on superior azure ledger paper. For dailies and monthlies. ..","1,000",th.,100,100,,,,,,,,
43,23764,8/3/1983,"The Superintendent,","Messrs. Bhartia Culter-Hammer Ltd.,",Faridabad,-,121 002,-,-,-,Post Binder for periodical Record Sheets. ..,One,ea.,10,10,,,,,,,,
44,23764,8/3/1983,"The Superintendent,","Messrs. Bhartia Culter-Hammer Ltd.,",Faridabad,-,121 002,-,-,-,Data Slips - Printed one side on superior paper. ..,"3,000",th.,30,90,,,,,,,,
45,23764,8/3/1983,"The Superintendent,","Messrs. Bhartia Culter-Hammer Ltd.,",Faridabad,-,121 002,-,-,-,Book Plates-Printed one side on superior art paper. ..,"3,000",th.,30,90,77,21.79,868.79,,,,,
46,10653,1/3/1978,"The Regional Librarian,","British Council Library, ",-,New Delhi,-,-,-,-,"Book Cards - Size 2"" * 4"". Blank Heavy weight card.","5,000",th.,25,125,,,,,,,,
47,10653,1/3/1978,"The Regional Librarian,","British Council Library, ",-,New Delhi,-,-,-,-, -do-   -do- Pink colour,"5,000",th.,25,125,,,,,,,,
48,10653,1/3/1978,"The Regional Librarian,","British Council Library, ",-,New Delhi,-,-,-,-, -do-   -do- Yellow colour,500,th.,25,12.5,,,,,,,,
49,10653,1/3/1978,"The Regional Librarian,","British Council Library, ",-,New Delhi,-,-,-,-, -do-   -do- white colour,500,th.,25,12.5,,,275,-,-,-,-,-
50,Telephonic,-,"The Director,","Institure of Applied Manpower Research,",-,New Delhi,-,-,-,-,"Catalogue Cards-Size 5""*3"". White. Unruled. Punched. Indian Card Stock : Medium Weight (Superior) ..","10,000",th.,280,2800,,,,,,,,
51,Telephonic,-,"The Director,","Institure of Applied Manpower Research,",-,New Delhi,-,-,-,-,Black Waterproof Ink. (Camel) ..,20 Nos.,ea.,15,300,248,,3348,,,,,
52,-,-,The Director,National Gandhi Museum Library,-,New Delhi,110 002,2,B/105,22-02-2012,"Steel Book supports-Made of heavy gauge steel sheets and powder coated in grey size - size- 7 1/4""*5"".",126 Nos.,Each,60,7560,945,,8505,-,-,-,-,-
53,-,-,The Director,National Gandhi Museum Library,-,New Delhi,110002,2,B/122,23-05-2012,"Steel Book supports-Made of heavy gauge steel sheets and powder coated in grey finish size - size- 7 1/4""*5"".",125 Nos.,Each,60,7500,937.5,,8437.5,-,-,-,-,-
54,-,-,The Hony. Secretary,Hardyal Municipal public Library,-,Delhi,110006,1,B/41,26-05-2006,Book Tags- Self Adhesive Sticker type. Round shape.,"10,000",Th.,100,1000,40,,1040,-,-,-,-,-
55,H.M.P.L/211/2006-07,26-07-2006,The Hony. Secretary,Hardyal Municipal public Library,-,Delhi,110006,2,B/107,7/9/2006,Blank Catalogue Guide Cards- Third out. Extra thick quality. Green colour.,2000,Hd.,100,2000,80,,2080,-,-,-,-,-
56,-,-,The Hony. Secretary,Hardyal Municipal public Library,-,Delhi,110006,3,B/223,1/3/2007,Book Labels-Self Adhesive Sticker type. Round shape.,"10,000",Th.,1000,1000,40,,1040,-,-,-,-,-
57,H.M.R.L/184/,8/7/2008,The Hony. Secretary,Hardyal Municipal public Library,-,Delhi,110006,1,B/35,8/7/2008,"Catalogue Cards-Size 5""*3"". White. Ruled and punched. Indian Card stock : Medium Weight (Superior)","10,000",Th.,425,4250,,,,,,,,
58,H.M.R.L/184/,8/7/2008,The Hony. Secretary,Hardyal Municipal public Library,-,Delhi,110006,1,B/35,8/7/2008,Book Labels- Self Adhesive Sticker type. Round shape.,"10,000",Th.,110,1100,214,,5564,-,-,-,-,-
59,HCR/4387,1/6/2006,The Principal,Sh. L.N.Hindu College,Rohtak,-,-,1,C/36,23-06-2006,Loan Registers- 200 Leaves. Leather Bound.,3 Nos.,Each,400,1200,,,,,,,,
60,HCR/4387,1/6/2006,The Principal,Sh. L.N.Hindu College,Rohtak,-,-,1,C/36,23-06-2006,Date Guide cards (1-31),2 Sets,Ea.,50,100,130,,1430,Passenger train to Rohtak,G 106427,23-06-2006,-,-
61,HCR/4387,1/6/2006,The Principal,Sh. L.N.Hindu College,Rohtak,-,-,1,C/37,23-06-2006,"Steel Book Supports - Made of heavy gauge steel sheets and powder coated in grey finish. Size - 7 1/3""*5"".",10 Doz.,Each,40,4800,600,280,5680,Passenger train to Rohtak railway station.,G 106427,23-06-2006,,
62,-,-,The Director,Hindu Insititute of Management & Technology,Rohtak,-,-,1,C/61,31-08-2006,"Steel Book Supports-Made of heavy gauge steel sheets and powder coated in grey finish, Size- 7 1/4""*5"".",40 Nos.,Each,40,1920,240,,2160,-,-,-,-,-
63,HCR/4387,1/6/2006,The Principal,Sh. L.N.Hindu College,Rohtak,(Hr.),-,1,C/60,31-08-2006,"Catalogue card cabinet-Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing cards size 5""*3"". 12-Drawers Unit.",ONE,Each,3600,3600,450,,4050,-,-,-,-,-
64,HPUL.Acctt./87-88/158/1939,5/1/1990,"The Acting Librarian,","Himachal Pradhsh University Library,",Shimla,-,171005,-,-,-,Book Pockets- Bag shaped. Printed with name and rules of the library as per your sample. ..,"3,000",th.,118,354,35.4,,389.4,Passenger train to Summer Hill railway station.,PD 061597,21-02-1990,,
65,HPUL/Accounts/87-88/158/1940,3/1/1990,"The Acting Librarian,","Himachal Pradhsh University Library,",Shimla,-,171005,-,-,-,"Blank Catalogue Guide cards. Extra thick quality. Tab cut, salves. Punched with a round hole. Blue colour. ..",500,th.,275,137.5,13.75,,151.25,Passenger train to Summer Hill railway station.,PD 061597,21-02-1990,,
66,HPUL/Acctts/87-88/158/1942,5/1/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Book Cards - Size 3""*5"". Printed both sides with columns as per your specimen on heavy weight pink card stock.",3500,th.,120,420,42,,462,Passenger train to Summer Hill railway station.,PD 061597,21-02-1990,,
67,HPUL/Acctts/87-88/158/1941,5/1/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Due Date Slips - Printed one side as per your sample on superior quality white paper. ..,"8,000",th.,45,360,36,,396,Passenger train to Summer Hill railway station.,PD 061597,21-02-1990,,
68,HPUL/Acctts/87-88/158/1938,5/1/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Book Labels-Made of cloth. Octogonal shape. ..,"8,000",th.,48,384,38.4,,422.4,Passenger train to Summer Hill railway station.,PD 061597,21-02-1990,,
69,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hole. Ivory Card Stock : Heavy weight. ..","5,000",th.,180,900,,,,,,,,
70,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,Book Pockets - Bag Shaped. Printed name and rules of the library. ..,"5,000",th.,130,650,,,,,,,,
71,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,"Book Cards - Size 3""*5"". Printed with columns both sides on heavy weight green card. ..","5,000",th.,130,630,,,,,,,,
72,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,Book Plates- Printed one side on superior white art paper. ..,"5,000",th.,50,230,,,,,,,,
73,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,Due Date Slipe - Printed one side on superior white paper. ..,"5,000",th.,50,230,,,,,,,,
74,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,Book Labels-Ped Border printed. Self Adhesive. ..,"5,000",th.,65,325,,,,,,,,
75,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,"Borrower's Tickets - Size 3""*3, 3/4"". Made of thick card, reinforced with cloth. Fabricated and printed both sides.Yellow. ..",1000,th.,350,350,,,,,,,,
76,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,Accession Register - 5000 Lines. Leather bound. ..,One,each,100,100,,,,,,,,
77,-,-,"The Director,","Academic Staff College,",Shimla,-,171005,-,-,-,"Catalogue cabinet - Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing cards size 5""*3"". 24-drawers unit. ..",One,each,3200,3200,667.5,,7345.5,Passenger train to Summer Hill railway station.,s.PD073304 & PD 072818,15-03-1990 & 16-03-1990,-,
78,HPUL/Acq./Misc./297,21-09-1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Accession Registere- Size 9""*11"". Printed with standard columns on superior azure ledger paper. Strong half leather bound. 5000 lines each.",Three,ea.,125,375,37.5,,412.5,"Summer Hill Rly.Stn. Passenger train,",PD 174803,13-10-1990,,
79,HPUL/Lib.Reg-90/91/228,24-07-1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Catalogue Cards- Size 5""*3"" White. Ruled and punched with a round hole. Imported Card Stock : Heavy Weight. ..","2,000",th.,225,450,45,,495,"Summer Hill Rly.Stn. Per Passenger train,",PD 174803,13-10-1990,,
80,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Catalogue Cards- Size 5""*3"", White. Ruled and punched with a round hole. Imported card stock : Heavy weight. ..","20,000",th.,225,4500,,,,,,,,
81,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Catalogue Cards -Size 5""*3"", White. Unruled i.e, with red guide lines only. Punched with a round hole. Imported Card Stock : Heavy weight. ..","25,000",th.,225,5625,,,,,,,,
82,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Book Cards- Size 3""*5"". Printed both sides as per your sample on heavy weight coloured card stock. Red colour. ..","10,000",th.,125,1250,,,,,,,,
83,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Book Pockets - Bag shaped. Printed with name and rules of the Library as per your sample. ..,"10,000",th.,120,1200,,,,,,,,
84,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Book plates printed one side as per your sample on superior quality / white paper. ..,"10,000",th.,35,350,,,,,,,,
85,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Due Date Slips- Printed one side as per your sample on superior quality paper. ..,"10,000",th.,45,450,,,,,,,,
86,HPUL/Tech-Quot/90-91/328,8/10/1990,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Book order cards- Size ""5*3"". Printed both sides as per your sample on medium weight white card. Punched with a round hole. ..","10,000",th.,110,1100,1447.5,,"15,992.50","Summer Hill Rly.Stn. Per Passenger train,",PD 175863,30-10-1990,-,
87,HPUL/Actts/92-93/3236,8/2/1993,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,"Book Cards- Size 3""*5"". Printed both sides with columns as per your sample on medium weight card. ..","15,000",th.,120,1800,,,,,,,,
88,HPUL/Actts/92-93/3236,8/2/1993,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Book Pockets- Bag shaped. Printed with name and rules of the library. ..,"15,000",th.,145,2175,,,,,,,,
89,HPUL/Actts/92-93/3236,8/2/1993,"The Acting Librarian,","Himachal Pradesh University Libarary,",Shimla,-,171005,-,-,-,Book Plates- Printed one side on superior quality white paper. ..,"15,000",th.,45,675,465,180,5295,Passenger train to summer Hill railway station.,PJ 055315,4/3/1993,,
90,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Library Pass Books- Fabricated and Printed as per your sample. ..,2800,th.,1250,3500,,,,,,,,
91,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Pass Book Covers - Fabricated and printed as per your sample. Blue colour. ..,2800,th.,1500,4200,,,,,,,,
92,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Accession Registers- 5000 entries each. Leather Bound. ..,2 Nos.,th.,300,600,,,,,,,,
93,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Book Plates- Printed one side on superior quality white paper. ..,5000,th.,140,700,,,,,,,,
94,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Book Labels- Made of paper. Ungummed. Red Border printed. . ..,5000,th.,40,200,,,,,,,,
95,HPUL/Acctt/1-31/97/2189/5,3/10/2001,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,"Catalogue Cads- Size 5""*3"". White. Ruled and punched. Indian Card Stock : Heavy weight ..",5000,th.,350,1750,1095,,12045,Simla Mandi Tpt.Co.(Regd) to Shimla,DLA 262077,28-12-2001,,
96,HPUL-Acctt./1-31/97-vol-II 3328,26-08-2002,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Book Plates- Printed one side on white paper as per your sample. ..,5000,Th.,150,750,,,,,,,,
97,HPUL-Acctt./1-31/97-vol-II 3328,26-08-2002,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,Book Labels- Made of paper. Ungummed. Red border printed. ..,5000,Th.,50,250,,,,,,,,
98,HPUL-Acctt./1-31/97-vol-II 3328,26-08-2002,"The Librarian,","Himachal Pradesh University Libarary,",Shimla,-,5,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched. Imported Card stock : Heavy weight..",10000,Th.,525,5200,620,280,7100,Simla Mandi Tpt.Co.(Regd) to Simla,DLA 267727,16-10-2002,,
99,M-10(5)00T/Stat/87-88/885,19-06-1987,"The Principal,","Government College,",Tonk,Rajasthan,-,-,-,-,"Book Pockets- Bag shaped. Printed as per your sample. Suitable for housing card size 5""*3"".","5,000",th.,90,450,,,,,,,,
100,M-10(5)00T/Stat/87-88/885,19-06-1987,"The Principal,","Government College,",Tonk,Rajasthan,-,-,-,-,"Due Date Slips- Size 2 1/2""*8"". Printed one side as per your sample on superior quality white printing paper.","5,000",th.,30,150,24,,624,-,,,,
101,E 10( )/GCT/Stat-Equip/88-89/4385,14-06-1988,"The Principal,","Government College,",Tonk,Rajasthan,-,-,-,-,"Accession Registers- Size 9"" * 11"". Printed with standard columns on superior quality azure ledger paper. Strong half leather bound. 5000 lines each. ..",Two,ea.,75,150,,,,,,,,
102,E 10( )/GCT/Stat-Equip/88-89/4385,14-06-1988,"The Principal,","Government College,",Tonk,Rajasthan,-,-,-,-,"Loan Registers - Size 9"" * 11"". Printed with standard columns on superior quality azure ledger paper. Strong half leather bound. 200 Leaves each with alphabetical index. ..",Two,ea.,75,150,,,,,,,,
