Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,61,30-01-2014,The Librarian,Meerut Institute of Enginerring & Technology,Meerut,-,250 005,1,C/88,21-03-2014,"Steel Book supports- Size 7.1/4""*5"". Powder coated in grey colour ..",300,ea.,65,19500,,,,,,,,
,61,30-01-2014,The Librarian,Meerut Institute of Enginerring & Technology,Meerut,-,250 005,1,C/88,21-03-2014,Automatic Self-Inking Metal Dater for stamping Issue - Return Dates ..,One,ea.,400,400,2487.5,,22387.5,-,-,-,-,-
,61,30-01-2014,The Librarian,Meerut Institute of Enginerring & Technology,Meerut,-,250 005,1,C/89,21-03-2014,Accession Registers- 5000 Lines.,Two,ea.,750,1500,,,,,,,,
,61,30-01-2014,The Librarian,Meerut Institute of Enginerring & Technology,Meerut,-,250 005,1,C/89,21-03-2014,Periodical Record Registers - 200 Leaves each.,Two,ea.,750,1500,,,,,,,,
,61,30-01-2014,The Librarian,Meerut Institute of Enginerring & Technology,Meerut,-,250 005,1,C/89,21-03-2014,Book Tags- Self Adhesive. Round shape,1000,th.,140,140,157,,3297,-,-,-,-,-
,-,-,The Librarian,Meerut Institute of Technology,MEERUT,-,-,1,C/90,21-03-2014,Periodical Record Tegister - 200 leaves. Leather Bound. ..,One,ea.,750,750,,,,,,,,
,-,-,The Librarian,Meerut Institute of Technology,MEERUT,-,-,1,C/90,21-03-2014,Accession Rregister - 500 Lines. Leather Bound.,One,ea.,750,750,75,,1575,-,-,-,-,-
,-,-,The Librarian,Meerut Institute of Technology,MEERUT,-,-,1,C/91,21-03-2014,Periodical Record Tegister - 200 leaves. Leather Bound. ..,Two,ea.,750,1500,,,,,,,,
,-,-,The Librarian,Meerut Institute of Technology,MEERUT,-,-,1,C/91,21-03-2014,Accession Rregister - 500 Lines. Leather Bound.,1000,th.,140,140,82,,1722,-,-,-,-,-
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,"Borrower's Tickets- Size 2 1/4""*4"". Cloth - Lined. Pink Colour.",4000,Th.,2800,11200,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014, -do-  -do- Light green colour.,1000,Th.,2800,2800,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Book Cards- Size - 11 1/2 cms * 7 cms. Printed as per your sample Yellow,5000,Th.,780,3900,,,,,,,,
